2025-07-21 00:52:51.668 | INFO     | workflows.graphs.campaign.nodes.check_external_logs_node:__init__:14 - CheckExternalLogsNode initialized.
2025-07-21 00:52:51.668 | INFO     | workflows.graphs.campaign.nodes.analytics_node:__init__:14 - AnalyticsNode initialized. Ready to process external user logs.
2025-07-21 00:52:51.676 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:52:52.173 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:52:52.173 | INFO     | workflows.graphs.campaign.nodes.segmenting_node:__init__:35 - UserSegmenter initialized with structured prompt.
2025-07-21 00:52:52.173 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:52:52.501 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:52:52.502 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:26 - RecommendNode initialized with inline prompt chain.
2025-07-21 00:52:52.502 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:52:52.843 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:52:52.843 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:19 - GenerateAdNode initialized with inline prompt chain.
2025-07-21 00:52:52.843 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:52:53.170 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:52:53.171 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:243 - HumanReviewRouter initialized successfully with inline prompt.
2025-07-21 00:52:53.171 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:52:53.481 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:52:53.481 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:21 - FeedbackLoopNode initialized with inline prompt chain.
2025-07-21 00:52:53.482 | INFO     | workflows.graphs.campaign.subgraphs.media_ad_gen_subgraph:__init__:24 - Initializing CampaignWorkflow...
2025-07-21 00:52:53.482 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:52:53.786 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:52:53.786 | INFO     | workflows.graphs.campaign.nodes.email_ad_generator_node:__init__:21 - EmailAdGeneratorNode initialized.
2025-07-21 00:52:53.786 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:52:54.088 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:52:54.089 | INFO     | workflows.graphs.campaign.nodes.web_ad_generator_node:__init__:21 - WebAdGeneratorNode initialized.
2025-07-21 00:55:26.290 | INFO     | __main__:__init__:28 - Initializing CampaignWorkflow...
2025-07-21 00:55:26.290 | INFO     | workflows.graphs.campaign.nodes.check_external_logs_node:__init__:14 - CheckExternalLogsNode initialized.
2025-07-21 00:55:26.290 | INFO     | workflows.graphs.campaign.nodes.analytics_node:__init__:14 - AnalyticsNode initialized. Ready to process external user logs.
2025-07-21 00:55:26.292 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:55:26.727 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:55:26.727 | INFO     | workflows.graphs.campaign.nodes.segmenting_node:__init__:35 - UserSegmenter initialized with structured prompt.
2025-07-21 00:55:26.727 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:55:27.027 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
2025-07-21 00:55:27.028 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:26 - RecommendNode initialized with inline prompt chain.
2025-07-21 00:55:27.028 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.3 | Overrides: {}
2025-07-21 00:55:27.347 | INFO     | core.chain:build:107 - Built chain for: default using provider: groq
